gene	grain_Z71_rep1	grain_Z71_rep2	grain_Z75_rep1	grain_Z75_rep2	grain_Z85_rep1	grain_Z85_rep2	leaf_Z10_rep1	leaf_Z10_rep2	leaf_Z23_rep1	leaf_Z23_rep2	leaf_Z71_rep1	leaf_Z71_rep2	root_Z10_rep1	root_Z10_rep2	root_Z13_rep1	root_Z13_rep2	root_Z39_rep1	root_Z39_rep2	spike_Z32_rep1	spike_Z32_rep2	spike_Z39_rep1	spike_Z39_rep2	spike_Z65_rep1	spike_Z65_rep2	stem_Z30_rep1	stem_Z30_rep2	stem_Z32_rep1	stem_Z32_rep2	stem_Z65_rep1	stem_Z65_rep2
TraesCS4B02G086600	0.0	0.0	0.0	0.0	0.0	0.0	0.0290548	0.0	0.0	0.0	0.0284122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0591718	0.0	0.0590649	0.0	0.0	0.0529392	0.0	0.0486247	0.0	0.0	0.0
TraesCS4B02G262500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS4B02G316400	3.745833	5.241249	0.63749	0.678461	0.0	0.0	0.0576067	0.0527679	0.420383	0.393063	1.926919	1.3444635	1.065324	1.017663	17.83851	8.485532	8.137807	12.832989999999999	0.0	0.0	1.1723605	0.3566064	0.1352139	0.929759	1.082578	1.01577	0.562599	0.563898	0.7626356	0.7962437
TraesCS4D02G313000	0.851768	0.860571	0.62985	0.486571	0.0	0.0	0.051578	0.0157228	0.33123	0.231637	1.36391	1.20867	1.55663	1.53173	12.7844	8.38281	8.33778	9.8823	0.0316602	0.0185728	0.671757	0.300938	0.29725	0.489499	1.58493	1.18248	1.88348	2.60751	1.97796	2.2268
TraesCS5A02G015800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0170224	0.0199824	2.77998	2.29782	0.520699	0.493588	1.25866	0.755224	0.548112	0.948064	0.0187269	0.0441416	1.08723	1.96568	1.26164	1.666	0.288115	0.142802	0.0848442	0.0456988	1.10697	0.993189
TraesCS5A02G220400	2.603339	3.117389	0.99431	0.8962357999999999	0.15278750000000002	0.0669963	1.3760515	1.052639	2.620012	2.56887	0.876638	0.956064	3.524605	3.664707	0.608735	2.1571233	2.4057197	0.53360173	2.306871	1.5992476999999998	4.787182	4.1673729999999995	0.3971039	1.001743	3.079899	3.006246	0.9916909999999999	1.0716329	0.08505309999999999	0.120955
TraesCS5A02G220500	3.33272	2.25113	0.17323	0.178289	4.03338	4.97637	0.9572	1.33779	0.763915	1.01803	1.95376	1.58331	4.88064	5.62071	9.1726	7.28351	7.70226	9.55914	0.630535	0.693661	0.884108	0.678785	6.73278	4.25268	1.16969	0.99607	1.92847	1.44813	0.536735	0.554807
TraesCS5B02G014100	0.0539643	0.0	0.0	0.0126092	0.0	0.0	0.0	0.0246023	0.0224125	0.0	3.74687	2.52154	0.296859	0.662167	1.89544	1.08863	0.921808	1.58732	0.345795	0.267747	3.18864	2.31612	1.28181	1.63635	0.715614	0.635832	0.0893159	0.0905643	0.535565	1.15585
TraesCS5B02G219500	1.45419	1.7091	0.624556	0.774232	0.019471	0.0227593	0.261327	0.31984	5.50582	6.04367	2.76669	2.47066	2.41241	2.58328	1.51306	3.73067	3.69922	1.40559	0.683362	0.353875	2.75455	2.21695	0.288556	0.298758	1.61385	1.81491	1.72922	2.10154	0.0	0.0222678
TraesCS5B02G219600	0.414876	0.691226	0.134382	0.139788	3.28102	3.54588	1.23663	1.30966	1.23027	1.29315	2.50879	2.69313	8.00159	7.4642	12.5615	8.52563	8.39029	12.0596	0.271443	0.25896	0.692856	0.453929	1.14311	1.41816	1.60945	1.54273	1.57453	1.69984	0.588937	0.838307
TraesCS5D02G021800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11185	0.211331	5.07987	5.04415	0.478634	0.49935	2.64638	1.40953	1.33191	2.54013	0.0	0.0542147	1.046	1.08572	3.02147	2.88601	0.21846	0.0634553	0.46802	0.45195	2.29571	2.52237
TraesCS5D02G228400	1.52796	1.16935	0.598155	0.548525	0.0197515	0.046176	0.795011	0.459873	5.5928	5.36035	15.9459	17.6172	1.76383	1.63294	1.22596	2.32286	2.23225	1.82905	0.0	0.0224308	0.330354	0.111916	0.832951	1.17199	0.040499	0.0	0.0	0.0	0.0	0.0
TraesCS5D02G228500	0.914509	1.08912	0.257623	0.383549	9.36416	8.28852	0.475336	0.573336	0.348632	0.277096	2.82542	2.45912	8.78023	8.82696	12.0516	9.41858	8.26409	12.0869	0.314235	0.129681	0.728319	0.545601	3.89103	3.69051	0.958919	0.850054	1.22748	1.23346	0.0661173	0.111303
TraesCS6A02G008700	1.70579	1.46276	0.333257	0.0911456	1.33893	1.49488	1.91624	1.97301	3.19495	4.28302	5.48665	4.74292	2.12133	2.68563	7.59419	6.69764	6.06288	9.73301	2.89782	3.86992	2.98842	3.47489	5.05156	4.19168	4.40931	4.9343	8.02167	10.2294	3.25353	3.61578
TraesCS6A02G008800	1.2589146	1.0341518	0.9671293999999999	1.198559	0.21122204378999998	0.23576627	0.6499607000000001	0.7460533	0.491419273561	0.44463876999999996	0.665265	0.7376758200000001	0.16410937	0.42519149	5.86881	2.8705842	2.49472	5.8742617	1.037319622	0.53290709	0.32129234403	0.428591	0.3988650220864	0.3311205221	0.9711976	0.85245	2.1291566	2.2776774	0.541459	0.29684066
TraesCS6A02G009400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.466232	0.3891	0.0	0.0	0.605364	0.921205	1.37281	2.66714	3.30915	0.751148	0.166246	0.19265	0.934445	1.07288	0.0	0.0	0.308353	0.334444	0.270301	0.694521	0.0	0.0
TraesCS6A02G039800	0.293501	0.260274	0.0109557	0.00987368	0.0371812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0177925	0.020123	0.0	0.0	0.0	0.0	0.096005	0.0422646	0.0229706	0.104783	0.508939	0.190094	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS6A02G271500	3.97923	2.90103	0.0721747	0.189664	0.236925	0.237485	0.526057	0.618162	0.257642	0.481222	0.0870498	0.130903	3.07017	2.64771	0.961518	2.5428	2.09616	2.76903	3.66803	3.58335	2.65827	2.98063	1.36068	2.12554	2.45997	2.5159	1.96082	1.63734	1.05648	1.1286
TraesCS6A02G329600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.293346	0.331899	4.93114	1.50076	2.20838	3.60437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS6A02G329700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.621683	0.0495975	0.0	0.654187	0.0	0.0	0.0	0.0	0.139366	0.125183	0.0207514	0.0	0.990161	0.539285	1.51051	1.49256
TraesCS6A02G329800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0182955	0.0	5.66512	5.67394	12.6832	8.3481	8.66183	10.1625	0.0518508	0.0190281	0.103408	0.0941973	0.114538	0.170908	0.0170875	0.0640329	0.141028	0.0843187	0.426731	0.305662
TraesCS6A02G329900	0.110423	0.183563	0.126807	0.0218215	0.0	0.0241135	0.0	0.0	0.0193253	0.0	0.0	0.0	0.24802010000000002	0.23766389999999998	15.540130000000001	0.405264	0.28228	14.18043	0.191486	0.0468162	0.145156	0.265076	3.419187	2.49789	0.0	0.0	0.0	0.0493754	0.0477482	0.0471908
TraesCS6A02G330000	0.0921008	0.0686703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.75082	3.91103	1.7115	3.39501	2.50317	1.86364	0.0555736	0.0305378	0.96302	0.861757	2.3835	3.53062	1.08784	0.955384	1.11173	1.5296	0.810477	0.743623
TraesCS6A02G330100	4.45386	5.59432	0.3292	0.215332	0.0	0.0	0.0	0.0536944	0.0	0.0192051	0.0381472	0.0	17.3385	17.1715	29.2439	23.8903	25.2162	20.6946	0.61227	0.248039	6.6411	8.54271	16.2711	23.3777	0.144332	0.0667946	0.560676	0.637053	0.262717	0.352072
TraesCS6B02G015400	1.9390319999999999	1.6228	1.80403	2.101292	0.332278	0.51225000413931	0.725611	0.754767	0.585861	0.533967	0.656313	0.227475	0.197649	0.22485	3.002684	0.770659	0.677561	2.11454	0.627507	0.5126933	0.659245	0.869877	1.002502	0.830258	0.84208	0.706414	0.315181	0.754334	0.506186	0.923552
TraesCS6B02G298700	3.63426	2.51607	0.111424	0.0177563	0.0	0.0	0.775963	1.23428	6.47817	6.83081	39.5567	40.6461	0.595537	0.583422	0.367733	0.504279	0.550934	0.610249	0.327533	0.277288	0.368968	0.224836	2.29669	1.51098	0.691997	0.445378	0.933925	1.09821	2.78117	2.88151
TraesCS6B02G360400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0346198	0.0203264	0.0	0.025309	0.0176491	0.0199588	2.91665	0.664097	1.05904	2.82601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.120785	0.0232396	0.0	0.0
TraesCS6B02G360500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0390278	0.0
TraesCS6B02G360600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21057	2.20291	9.12575	5.78447	6.94935	7.48386	0.0	0.0466246	0.0	0.0463149	0.0	0.0210869	0.0	0.0	0.0	0.0	0.0	0.0
TraesCS6B02G360700	0.0692773	0.0520166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1785	0.0841448	0.0	0.0	3.89881	0.0	0.0370439	3.35117	0.0	0.0	0.0	0.0	0.0	0.0852591	0.0	0.0	0.0	0.0	0.0	0.0241799
TraesCS6B02G360800	0.409196	0.391051	0.0212748	0.0287653	0.0	0.0	0.0202045	0.0	0.0169367	0.0	0.0	0.0	6.73899	6.13963	3.10533	2.88547	2.10765	2.09604	0.0558967	0.0	1.29292	2.31188	4.47145	5.87852	0.368141	0.46813	1.21638	1.43219	0.648189	0.700313
