3DAA	7DAA	10DAA	13DAA	15DAA	17DAA	19DAA	21DAA	23DAA	26DAA
TraesCS2D02G225500	0.886666666666667	0.466666666666667	0.28	0.156666666666667	0.986666666666667	0.253333333333333	1.17666666666667	0.523333333333333	0.73	2.90333333333333
TraesCS2D02G518100	0.56	0.883333333333333	1.57	0.39	0.58	0.59	0.923333333333333	0.65	0.796666666666667	0.936666666666667
TraesCS2D02G586500	0	0	0	0	0	0.06	0	0	0	0
TraesCS3A02G019600	0	0	0	0	0	0	0	0	0	0
TraesCS3A02G196000	0	0	0	0	0	0	0	0	0	0
TraesCS3A02G331900	0	0	0	0.0533333333333333	0	0.0666666666666667	0	0.113333333333333	0.186666666666667	2.33333333333333
TraesCS3A02G335900	0	0	0	0	0	0	0	0	0	0
TraesCS3A02G339800	0.0333333333333333	0	0	0	0	0	0	0	0.0733333333333333	0
TraesCS3B02G026700	0	0.0166666666666667	0	0	0	0	0	0	0	0
TraesCS3B02G227600	0	0	0	0	0	0	0	0	0	0
TraesCS3B02G362000	0	0	0	0	0.0766666666666667	0	0	0.05	0.0533333333333333	0.516666666666667
TraesCS3B02G366800	0	0	0	0	0	0	0	0	0	0
TraesCS3B02G371400	0	0	0	0	0	0	0	0	0	0
TraesCS3D02G027300	5.51	6.62333333333333	1.34666666666667	4.32666666666667	3.81333333333333	1.77	2.43	1.83333333333333	0.333333333333333	0.466666666666667
TraesCS3D02G199100	0	0	0	0	0	0	0	0	0	0
TraesCS3D02G325400	0	0	0	0	0	0	0.04	0.05	0	1.58
TraesCS3D02G328900	0	0	0	0	0	0	0	0	0	0
TraesCS3D02G333300	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G041500	0	0.08	0.186666666666667	0.06	0.43	0.09	0.0533333333333333	0.0566666666666667	0.123333333333333	0
TraesCS4A02G415600	1.06	0.843333333333333	1.79	1.91666666666667	1.4	1.43333333333333	1.27666666666667	1.02666666666667	1.45	1.01333333333333
TraesCS4B02G262500	0	0	0	0	0	0	0	0	0	0
TraesCS4B02G316400	0.236666666666667	0.34	0.886666666666667	0.123333333333333	0.453333333333333	0.336666666666667	0.89	0.516666666666667	0.64	0.513333333333333
TraesCS4D02G262600	0	0	0	0	0	0	0	0	0	0
TraesCS4D02G313000	0.703333333333333	0.963333333333333	0.836666666666667	0.836666666666667	0.91	1.23333333333333	1.02	0.953333333333333	0.956666666666667	0.556666666666667
TraesCS5A02G015800	0.5	0.64	0.45	0.703333333333333	0.676666666666667	1.38333333333333	1.41666666666667	0.386666666666667	0.413333333333333	0.28
TraesCS5A02G220400	1.14333333333333	1.82666666666667	1.93666666666667	2.02666666666667	2.17	2.61666666666667	2.52333333333333	3.16666666666667	4.02333333333333	3.37333333333333
TraesCS5A02G220500	0.583333333333333	0.63	0.573333333333333	0.86	0.75	1.04666666666667	0.7	1.11333333333333	1.62666666666667	2.08333333333333
TraesCS5B02G014100	0	0	0	0	0	0	0	0	0	0
TraesCS5B02G219500	12.7233333333333	11.5166666666667	7.45333333333333	10.9066666666667	10.8766666666667	9.36666666666667	12.33	15.0533333333333	9.5	9.90666666666667
TraesCS5B02G219600	3.05333333333333	4.68	4.82666666666667	4.57333333333333	8.04	8.14333333333333	7.55	9.2	13.79	12.9933333333333
TraesCS5D02G021800	3.24666666666667	3.71666666666667	5.06666666666667	3.67	2.97666666666667	4.18666666666667	2.24	1.11	1.76333333333333	0.86
TraesCS5D02G228400	10.0866666666667	36.99	10.3833333333333	22.5666666666667	19.0833333333333	19.6433333333333	26.75	63.48	54.6666666666667	76.91
TraesCS5D02G228500	0.473333333333333	1.75666666666667	1.92666666666667	2.17	3.35333333333333	4.83333333333333	2.51	3.48666666666667	6.91	5.97666666666667
TraesCS6A02G008800	0.373333333333333	0.163333333333333	0.253333333333333	0.216666666666667	0.363333333333333	0.36	0.446666666666667	0.356666666666667	0.133333333333333	0.12
TraesCS6A02G271500	0.22	0.113333333333333	0.133333333333333	0.28	0.433333333333333	0.296666666666667	0.406666666666667	0.526666666666667	0.703333333333333	0.383333333333333
TraesCS6A02G329600	0	0	0	0	0	0	0	0	0	0
