SRR1542404,SRR1542405,SRR1542406,SRR1542407,SRR1542408,SRR1542409,SRR1542410,SRR1542411,SRR1542412,SRR1542413,SRR1542414,SRR1542415,SRR1542416,SRR1542417
TraesCS7A02G477500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G526900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B02G023900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B02G128000,0.513489968201038,0.614041299712986,0.585382838269617,0.416053835407932,6.69140437314918,6.14752737229832,0.284824470138518,0.450899657066871,0.308444501325372,0.220898271888208,0.233483622223205,0.937107509831765,0.472641747194041,0.857966269145337
TraesCS1B02G181600,3.93889596440879,3.38846629721081,3.84889216162273,3.7924725462781,4.36323805819397,3.4569730404421,3.58938170805812,4.52111449895238,4.68980225374562,4.17566764578678,3.3581511602572,3.46583355589342,4.03019402324168,3.76075214642039
TraesCS1B02G267300,0.109720672961576,0,0,0,0.0590824381610558,0.0493827571305722,0,0,0,0,0,0,0,0.0611090396168513
TraesCS1B02G321500,0.0328383858083581,0.0420736939186753,0,0,0.318290922178284,0.35471529377194,0,0,0,0,0.111986977467543,0.112367450647,0,0
TraesCS2B02G245100,2.39478811881323,1.70891917274619,1.94388493011249,2.41150763002284,10.3326961871934,8.84100997355821,2.35403748383844,1.5172697551267,0.0682835890981252,0,3.92834229040188,3.73423144069325,0.209267305575813,0.202599442231402
TraesCS2B02G245300,2.35609354104428,3.0430542778852,3.49283917586586,3.58990614391986,0.67528130341377,0.872283959754864,1.3701229172052,0.650703873729848,0.449403529938453,0.19617444842186,0.842364232551325,0.520139166554529,0.163961633193852,0.285727211968626
TraesCS2B02G255800,1.83243381031445,1.99400373734465,1.64543716946697,2.16329715602188,2.35193129530902,2.64367561244642,0.417707261968942,0.529010898774366,2.14864847554305,2.040927583782,1.02724114089652,0.858942640865779,1.7761951533434,1.80348337133171
TraesCS2B02G316600,0,0,0,0,0,0,2.59864739044932,1.93172758059237,0.229414320838724,0.210303151155109,4.86248131801947,3.76380114667159,0.21092439962449,0.204203736457216
TraesCS2B02G533700,0,0,0,0,0.0773623769183328,0.0646616420938433,0,0,0.0539367711759128,0.0618045164963816,0,0,0,0
TraesCS2B02G545100,11.535042956182,10.6758135308966,8.60245572324913,9.86396451236387,2.97597559058351,3.6354362889697,12.7337160280396,10.5272058654842,9.83154710861507,9.07106120816568,16.6241319017139,14.5470453552714,5.57610632123756,4.546050863249
TraesCS2B02G611600,0.48886103759954,0.391466213213919,0.870790081815097,0.405100546446144,1.28330531123352,1.85646207730966,0.762646516762299,0.402443245956743,1.51413451753558,1.57727363366331,0.72937219770292,0.313650095555966,2.21470619605714,1.78678269400064
TraesCS2B02G598400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G598500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2B02G855500_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B02G006900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B02G026700,36.4519431410096,39.7100416830814,20.4737817656587,20.0335786302507,17.3313288722687,17.8321938970157,16.878413606745,15.4534467137322,3.35648339094705,3.60318177706431,15.0840995869392,13.8472327900968,2.00316935624791,2.04417189840272
TraesCS3B02G227600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3B02G338000,0.98503181354393,0.454340655336242,0.561472233642995,0.217668905335759,0,0.159602477640821,0.218552401594253,0.518978598724669,0.0443768620615825,0.0508501054762352,1.07494429137336,0.269649097468003,0.272001705715608,0.131667471209467
TraesCS3B02G362000,0.648776073603182,0.306244365027526,0.243292804148087,0.490456750922786,0.661932448777846,1.29094393419213,1.51522297135637,0.719615331328973,0.307664616366269,0.440679485511495,1.74669953793403,1.51894938817074,0.176792511948213,0.228212519631073
TraesCS3B02G366800,0,0,0,0,0,0,0,0,0,0.0530963401431215,0,0,0,0
TraesCS3B02G371400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B02G262500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B02G043000,5.23059868957929,5.44069358084328,6.44079120163588,7.1887579426364,14.3674775465496,11.9349160447705,3.53820411285433,2.59258175290028,1.76528282666429,2.11686724517971,5.40722546567729,4.49014873638014,3.7115293477783,4.08049220745209
TraesCS4B02G028400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B02G316400,0.56446337152298,0.747317318489324,1.09930044323603,0.914709790698317,0.0607904988950745,0.0254052010734431,0.313098581594275,0.34696186777852,0,0.0485653044987241,0.384991803415066,0.579449706314469,0.0974175388025335,0.031437844484183
TraesCS5B02G014100,0,0.0566840511844561,0,0,0,0,0,0.116547036666916,0.149485695052653,0.171291141542797,0,0,0,0
TraesCS5B02G067300,0,0,0,0,0,0,0,0.149009352639062,0,0,0,0,0,0
