grain_Z71_rep1,grain_Z71_rep2,grain_Z75_rep1,grain_Z75_rep2,grain_Z85_rep1,grain_Z85_rep2,leaf_Z10_rep1,leaf_Z10_rep2,leaf_Z23_rep1,leaf_Z23_rep2,leaf_Z71_rep1,leaf_Z71_rep2,root_Z10_rep1,root_Z10_rep2,root_Z13_rep1,root_Z13_rep2,root_Z39_rep1,root_Z39_rep2,spike_Z32_rep1,spike_Z32_rep2,spike_Z39_rep1,spike_Z39_rep2,spike_Z65_rep1,spike_Z65_rep2,stem_Z30_rep1,stem_Z30_rep2,stem_Z32_rep1,stem_Z32_rep2,stem_Z65_rep1,stem_Z65_rep2
TraesCS2A02G516300,29.6968020285058,30.1744435660764,18.4317032925938,14.9086172050039,10.6173694523126,10.2096508205386,6.89430845474186,6.28091784157416,7.6551350330217,8.7935705133181,2.86857426481142,4.03521358709446,12.5329232230472,11.9850537422548,12.5332358387551,10.6814123028384,10.7711391470585,12.197344985802,10.8916636315549,7.6152318599221,79.200122894113,103.737970367731,21.2602147107876,21.9208556552804,6.07469042876243,7.98086254267733,22.3303853172598,28.9554149522009,5.50343579143377,6.38745032663767
TraesCS2A02G575700,0.881715315736391,1.18395579818577,2.69841172611868,2.94934866504836,8.50852855925623,12.215764184176,0,0.207312196480648,0.330878078780945,0.183489166437079,0,0.130810597730393,0.722281107546369,0.209204526221655,1.34718290525972,0.807945129749292,0.847086076398187,0.988511483889899,0.0537292566088432,0,0.0648229428846246,0.0990649580207167,6.98500124297656,4.323068237427,0.168792740393845,0,0.592973781734098,0.441720201500791,0,0
TraesCS2A02G584400,0,0,0,0,0,0,0,0,0,0,0,0,2.15361823286934,1.60976260194382,7.98193240597912,5.67996946759794,4.52190356864843,11.6376128951824,0,0.0638248155354424,0,0,0,0,0,0,1.05772737385552,1.01966913490057,0.332635246315723,0.352200838310893
TraesCS2A02G584600,0,0,0,0,0,0,0,0,0,0,0,0,0.0864674802004989,0,0.903152603372357,2.11031347354016,1.26760546852557,2.65079586937461,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,8.21222523485888,7.88966491957474,0.273743533868107,0.7590253943697,0,0,0,0,0,0,0,0,0,0,0.858073718336131,0.0819588647002514,0,0,0,0,0,0,0,0
TraesCS3A02G007100,0.187647841357501,0.62712799150675,0.357329540649276,0.861527547876917,0,0,1.07156647983823,0.514738711079515,3.20401529133895,1.82235254137964,0.670435152036938,0.649583378251153,21.9388087662699,18.7689977222823,76.4430655909041,27.0635685251039,51.7748400522298,36.3249823647195,29.9894924951664,25.1533016477884,23.949345677319,36.698715245998,5.11476520498411,4.78893243332986,80.9697622188131,61.1540409698148,53.2706328415586,50.8893870412391,192.343489764815,146.378559459105
TraesCS3A02G019600,0,0,0,0.189105296758983,0,0,29.0482920270746,17.7386680918667,24.5246831992437,25.4004053098848,3.15343962583088,3.13683813357482,5.18296884756815,3.72453791516619,4.56844691872517,7.52564163582841,8.84851997304273,2.65777787635198,0.937038235258225,0.723294722055401,2.40233826330419,0.971827238183231,0.193567407326554,0.120824214840908,3.98632188563463,2.49349448784044,5.05321475452312,5.13573354278252,7.43446705416605,5.54349444466417
TraesCS3A02G196000,0.0867587175944632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244634953967209,0.152700429498778,0,0,0,0,0,0
TraesCS3A02G298500,0.250959336956414,0.104839751817008,0.716836260525662,0,0.230642924092557,0.139876386908127,0.85986477011238,1.37681824319212,3.29618070864796,3.16836738877491,1.53709166834102,2.08499938256029,0.959374144372329,1.75988859631398,0.556703356432618,0.487799039771088,0.937622567427291,0.437665404392989,0.214098606685048,0.220348734822666,0.0861014565047869,0.263167230446504,0.471756057459994,0.220851573205012,0.298933271639365,0.168807276827651,0,0.097786244150467,0.510395386832249,0.675521029052754
TraesCS3A02G331900,1.33087749113901,1.37360250741286,0,0,0,0,0,0,0.102824549072339,0.114043159752768,0,0.162604192759661,0.374096653469015,0.433419688442107,13.3225048113521,6.29980464806006,6.62494166378606,10.1578303378519,0,0,1.69214216693264,2.95542614605497,30.978143401085,33.2072824252703,0,0,2.21128925590364,2.92842967514328,13.6131508003964,9.22993800622629
TraesCS3A02G335900,1.21881274155877,1.5274987599918,0.204788078779416,0.197499004448024,0,0,0.368473382231578,0.708000921662371,0,0.104440308833638,0,0,0.753711965141946,1.42892699894478,0.47712239360054,1.75588549916556,2.16969044633583,0.675181734166051,0.0611643756695969,0.125899864587537,0,0,0,0,0.192150482537118,0.289352420985255,0.184099147046808,0.251422986755019,0,0
TraesCS3A02G339800,1.26560618160022,1.01966366026468,1.0328735364282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48874024547536,0.142196943858543,50.9807163329195,38.7433037876691,0,0,0.154754399602584,0,0,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,5.9328530696122,5.46143944228763,0.749845450980078,0.723156010550605,0.868549214149697,0.438952428323065,3.32800274034652,3.19728523291188,12.4126728598129,11.4724583986472,38.0261808290123,36.2047717833075,1.25443978206747,1.16269182195846,0.44923269345563,0.734776450347349,0.765022925593519,0.49444474987686,3.4489457033883,4.10281900974702,3.83682412989759,3.30342804566214,5.28023265364978,6.19137468018422,3.37714576573841,2.64870882498453,10.830403804883,8.53091494319755,9.1296608857343,9.24269054636167
TraesCS4A02G284700,0,0,1.09544461134799,1.90161750930821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,2.45249044759851,3.14680890368764,11.3418409861374,11.9032786476681,0,0,0.10003565861754,0,0.536863315491465,0.680499960162181,2.59293990144521,2.42566382181611,0.613868543645647,0.581902222855767,12.8514675985099,8.58059516657622,10.9627319084458,9.95945903059895,0.3487117302928,0.153810679862924,1.08182978364388,0.597023053760151,1.31720511099409,2.77491019730316,0.886827426403811,0.824831303201987,1.39945366147791,2.11599866861056,1.603227614619,1.41460783276917
TraesCS5A02G015800,0,0,0,0,0,0,0,0,0.185666463768973,0.102961745902917,5.62776012160295,5.57855851530797,0.743041654181121,1.09565373492662,2.31824112808999,0.824298763474181,0.514938211178135,0.961455699817752,0.0602984707373375,0.0620587492111026,1.16397644675197,2.33472009173148,2.45799882319433,1.30620772800982,0.442003812682981,0.21394204099875,0.0604976176052572,0,2.26401737469845,1.9405797798567
TraesCS5A02G060000,0.315395653911243,0.494094020587694,0,1.08603185504082,0,0,0,0,0,0,0,0,0.15071288006232,0,0,0,0,0,0,0,0,0.124026767256375,0,0,0,0,0,0.0921703794469226,0,0
