grain_Z71,grain_Z75,grain_Z85,leaf_Z10,leaf_Z23,leaf_Z71,root_Z10,root_Z13,root_Z39,spike_Z32,spike_Z39,spike_Z65,stem_Z30,stem_Z32,stem_Z65
TraesCS1B02G023900,0,0,0,0,0,0,0.662697200557045,0.0963128028901412,0.0694228438551898,0.0352270013254972,0,0,0,0,0
TraesCS1B02G128000,0.784192429056787,0.195280041668073,0,0,1.05051962253758,2.8122601481593,3.90660055633928,4.39028101403598,5.54597926222329,10.0540802446189,15.5240781650478,5.93920287043647,0.62694748393295,6.36283359802936,6.99476011066036
TraesCS1B02G181600,4.46047318878244,0.805386958176531,2.60097969729865,5.69753068233838,7.31496356622502,17.0205568911689,0.0590075743594429,0.229875499694591,0.204129209466566,2.74780609701016,4.98394020717724,4.26688538071444,1.25240342296267,5.55248160301846,11.7260522287328
TraesCS1B02G267300,0,0,0,0,0,0,0.15341170314168,4.21800438873181,4.42198749745858,2.76689867252757,0.886707073188819,0.0327215206068811,0.0707335218865858,2.86647886659825,0.760652156388249
TraesCS1B02G321500,0.0418403021689154,0,0,0,0,0,0,0.953457593881435,0.833300426859583,0,0.591918041416099,12.8941808817634,0,0,0
TraesCS2B02G245100,1.89754301658871,14.5507449667167,0,0,0.76393065335297,1.0648114042696,12.856603089218,33.9563988977801,29.6655376572731,0.611618180647586,17.8839358363582,3.71910169787077,1.33060922836974,2.82429984114111,4.80312750373922
TraesCS2B02G245300,0.0242093904565128,0.0532128868825841,0,0.197258460188021,1.41389789203062,0.128857548817226,4.27366611729352,2.01859012585009,1.63331700155494,0.183201538828169,0.211572295306543,0.107780359610189,0.281189589245803,0.666556391532302,0.0918608741094253
TraesCS2B02G255800,0,0.0702993668249008,0.0853427955438524,0,0,0,0,0,0,0.0224068996919269,0,1.41272441632819,0,0,0
TraesCS2B02G316600,0.0519059555564599,1.39435251471592,1.10435035223026,0,0,0,0.0458588101722682,0,0,0,0,0.0364477269505003,0,0,0
TraesCS2B02G533700,0,0,0,0,0,0,0,0,0.0545699659145404,0,0,0,0,0.18192962404489,0
TraesCS2B02G545100,12.1896520626281,17.6313263482715,20.9081188906326,12.5945360274428,25.024256530324,17.2399370085187,18.4031822598021,30.9332475165792,34.0785390958898,7.32448804049088,58.005186680513,10.727973475116,8.22769297204391,26.0619732275207,7.77654622541805
TraesCS2B02G611600,0.349959177899211,2.18025482883012,37.2355245579783,0.106429340418322,0.172095811923996,0,0.848611850154539,1.85889864910339,1.39057332158846,0.0264999500921444,0.20117612549359,4.80387871547877,0.031341056911016,0.145241333223488,0.144928278756964
TraesCS2B02G598400,0,0,0,0,0,0,0.44961766869213,7.20414506518766,6.97161888073661,0,0,0,0,0,0
TraesCS2B02G598500,0.0789055578122057,0,0,0,0,0,1.70918491248042,8.69951958222538,10.3373742453673,0,0,0,0.0352459936837722,0,0
TraesCS2B02G855500_M,0,0,0,0,0,0,0.0366538772082144,0.487612897527401,0.915394141799638,0,0,0,0.133600936995,0,0
TraesCS3B02G006900,0.0323048636689972,0.27025655479965,0,0.766110494094244,1.48429236379721,0.812515483408237,10.3519772605866,24.8767886644816,20.7173481674679,10.6646738100187,10.4030531689298,1.44332360823557,21.6994307829669,12.4166173787866,62.3481247078818
TraesCS3B02G026700,0,0,0,32.966045940541,44.8046057366977,7.11722176879845,11.2356083713063,9.94196428933237,10.2299013958642,0.605721072097031,4.13351166610709,0.230256884752067,17.8289049223893,11.8963996105584,8.76487346529702
TraesCS3B02G227600,0.119587572652246,0.821301333380877,0,0,0,0,0.0407019961769931,0,0,0,0,1.32918344515798,0,0,0
TraesCS3B02G338000,0.0502022589845848,0.572092152972401,0,0.538210516689596,1.69986310803025,0.534415771389312,0.578454995908762,0.536466533960022,0.526842627862882,0.173860516365356,0.155192662496871,0.145802569253748,0.157035294721984,0.0342863959732202,0.251589429582012
TraesCS3B02G362000,0.57346915078562,0.0991578181700584,0.143568659608183,0,0,0,0.319635860658802,3.47413816596093,2.63210402121428,0.0296156205833826,1.46423706108091,26.5543054985493,0,0.210878605873704,4.18935977088756
TraesCS3B02G366800,5.20474040323305,0.584606282491717,0,0.28662159003746,0.176796629327783,0,0.578651722897193,2.26424214558611,2.53485782937613,0,0,0.0393130047883328,0.0373666589549207,0.25060665815308,0
TraesCS3B02G371400,0.689554593565331,0,0,0,0,0,0,0,0,0,0.984130485561886,11.6216311428676,0,0,0
TraesCS4B02G262500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B02G043000,8.97048452207797,3.06790584856929,0.226096339863114,5.07421827881853,10.3330614375508,18.6797970681219,2.25043171709366,1.63765746453382,1.87626270524171,3.29869283723966,4.34767995520481,4.74793876396807,4.04118659502697,10.1589591440247,10.6996521116853
