Geneid,WT_FLB_3DAA_rep1,WT_FLB_3DAA_rep2,WT_FLB_3DAA_rep3,WT_FLB_7DAA_rep1,WT_FLB_7DAA_rep2,WT_FLB_7DAA_rep3,WT_FLB_10DAA_rep1,WT_FLB_10DAA_rep2,WT_FLB_10DAA_rep3,WT_FLB_13DAA_rep1,WT_FLB_13DAA_rep2,WT_FLB_13DAA_rep3,WT_FLB_15DAA_rep1,WT_FLB_15DAA_rep2,WT_FLB_15DAA_rep3,WT_FLB_17DAA_rep1,WT_FLB_17DAA_rep2,WT_FLB_17DAA_rep3,WT_FLB_19DAA_rep1,WT_FLB_19DAA_rep2,WT_FLB_19DAA_rep3,WT_FLB_21DAA_rep1,WT_FLB_21DAA_rep2,WT_FLB_21DAA_rep3,WT_FLB_23DAA_rep1,WT_FLB_23DAA_rep2,WT_FLB_23DAA_rep3,WT_FLB_26DAA_rep1,WT_FLB_26DAA_rep2,WT_FLB_26DAA_rep3
TraesCS4B02G043000,8.94787872032043,10.1910107534756,8.65079188375085,10.1212517416614,7.72348401652069,17.6073526718044,7.37478506867609,6.17981569671703,12.9197538611079,12.4846610719274,12.5434694654007,10.9999770777045,8.98285622239461,11.2021324784153,10.4459787823537,8.69893309680138,10.4195065698701,5.33543675618868,13.2727642972913,10.5884756605366,10.2194722476821,13.12815298115,10.8159203777602,8.82379491798363,7.63418374734599,9.93687910771547,10.1710787434768,6.96655265294609,7.75931485181674,5.85290120627849
TraesCS4B02G028400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4B02G316400,0.156571634090937,0.26523849804889,0.133797993591801,0.39062087406172,0.347689099672051,0.228650387278679,0.571025677731346,0.439999849267209,0.325323465473267,0.290731023618552,0.278490080601698,0.230584734502852,0.176644513066147,0.385500065784545,0.628214811879687,0.364083110210954,0.398408316538244,0.146237176883358,0.472507156910019,0.242921489669341,0.95913732124156,0.260642535675915,0.413565901669068,0.211851701756162,0.378310898677258,0.189977099702444,0.138165123997073,0.740375532420173,0,0.161852507607567
TraesCS5B02G014100,0,0,0,0,0,0,0,0,0.25498325672229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5B02G067300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS5B02G219500,31.9025458006582,19.0897940029466,22.2275362887868,32.9920375530927,26.9207359724511,12.96228624929,14.8252933768966,13.4479486897771,14.3265214853574,13.3764225770651,20.1808238576406,27.3942503836887,17.2415842391064,15.5829664297955,18.7875492177769,22.7339395362835,16.0065534954801,15.2828897981473,24.0173830141461,21.5551111660924,22.2223751230035,28.267005216968,22.670512474337,18.5893320676624,15.7896731848679,19.4794376159184,8.17318827600817,10.4278755571935,12.0503645231823,23.6169042934464
TraesCS5B02G219600,7.68405404230907,5.79419221769654,6.18602346451097,10.6957198710605,9.2392670396155,13.6504924686761,15.0373666278371,9.08521264748644,5.45176208931936,10.0921302044849,8.3754716126174,16.0430518726457,13.9552479478223,14.8815320892118,14.663453048021,15.4711413943112,15.3351229258906,18.6423592076802,10.6519483959571,11.9945334040767,16.3602194297704,26.9090190092053,19.4549780092105,8.36834095454828,25.4721057716325,19.3291897126895,32.8699495978215,22.7887231688911,21.0557017552945,17.8238176107575
TraesCS5B02G496200,0,0,0,0,0.0426041572837584,0.105066463168548,0,0,0,0.0890619685028662,0.127968153234231,0.105955309340219,0,0,0,0,0.0457678567854233,0,0.0964979404957081,0,0,0,0,0,0,0,0,0,0.151791974476186,0
TraesCS6B02G015400,1.60652181420647,1.46542902963259,1.34644921097629,1.46446584599263,1.61909852658004,1.96259820561191,2.02814192259797,0.78138529932752,2.18255152980807,2.35204395334456,2.14311036665921,1.50146319594527,1.46392774395478,1.82560113627617,1.85938631433668,1.86785895840597,1.56244857395384,1.26964021529989,2.23763801647615,1.22229578827748,1.23016777459446,1.46575151325624,1.07718142190605,1.75570459801797,1.04507410731503,1.34950330699971,1.22682083813071,1.50264611740441,0.293318429853776,0.894226761619043
TraesCS6B02G014700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
