LC,LN,RC,RN
TraesCS7A02G477500,0,0,3.83661332398804,2.94000151064197
TraesCS7A02G490000,0,0,0,0
TraesCS7A02G526900,0,0,0,0
TraesCS1B02G023900,0,0,0,0
TraesCS1B02G128000,0,0.24577856406375,0.0934172436837446,0.423549013573685
TraesCS1B02G181600,10.0262856552919,5.5549795768471,2.38009621172991,1.30539129574077
TraesCS1B02G267300,0.678827735632493,0,4.59104325288805,4.2988647680996
TraesCS1B02G321500,0,0,0.313643426665849,0.304723560829456
TraesCS2B02G245100,0.225056917066036,0,22.9969978272502,20.4408747005334
TraesCS2B02G245300,1.41066277246457,0.341046934657578,1.55553018501177,3.23248495322371
TraesCS2B02G255800,0,0,0,0
TraesCS2B02G316600,0,0.146243806218928,0,0
TraesCS2B02G533700,0,0.343828523131736,0,0
TraesCS2B02G545100,28.7216787397135,38.7635091105141,29.5056844797062,29.2802144152725
TraesCS2B02G611600,1.92813185678691,1.31619425597035,0.0416890301280964,0.378031868449816
TraesCS2B02G598400,0,0,7.1138044804228,6.5205887162856
TraesCS2B02G598500,0,0,3.17699160631356,4.92147522991923
TraesCS2B02G855500_M,0,0,0.0888561847697101,0.402869405316018
TraesCS3B02G006900,0,0,0.433565913332203,0.688018000578665
TraesCS3B02G026700,17.7002952335002,0.563064131957895,0.214013371853875,0.388130280731286
TraesCS3B02G227600,0,0,0.0493348094153109,0
TraesCS3B02G338000,1.75514847357408,0.424331043864987,1.0752181658129,0.121874606750415
TraesCS3B02G362000,0,0,18.3566655341283,13.0968208887468
TraesCS3B02G366800,0,0,0.0561357237368427,0.127258252745483
TraesCS3B02G371400,0,0,0,0
TraesCS4B02G262500,0,0,0,0
TraesCS4B02G043000,5.27699245015364,5.49568829685867,1.31795846124263,0.676478080383881
TraesCS4B02G028400,0,0,0,0
TraesCS4B02G316400,0.419071500743654,0.0675441612839773,5.98172965067522,3.60835434447884
TraesCS5B02G014100,0,0,0.24146176991474,0.821081502972081
TraesCS5B02G067300,0,0,0,0
TraesCS5B02G219500,0.137723704056208,0,0.759335905904614,1.14759674350837
TraesCS5B02G219600,0.376220850104762,0.242550702997247,2.3969497647634,8.77771557961523
TraesCS5B02G496200,0,0.496592284369523,10.8058393124345,14.7621202611812
TraesCS6B02G015400,1.07498320427872,2.55893492184807,1.51971557250463,1.58477194831374
TraesCS6B02G014700,0,0,0.261926813313698,0.356268839775733
TraesCS6B02G054800,0,0,0,0
TraesCS6B02G298700,1.27984243748939,0.198028375845084,1.16665425747292,0.511892016915451
TraesCS6B02G360400,0,0,0,0
TraesCS6B02G360500,0,0,0,0
TraesCS6B02G360600,0,0,3.12179907445944,4.79799241507017
TraesCS6B02G360700,0,0,0,0.119520805332488
TraesCS6B02G360800,0,0,24.4269923863893,25.3848399664051
TraesCS6B02G360900,0,0,30.6969910066723,31.405695149331
TraesCS7B02G007400,0,0,0,0
TraesCS7B02G007600,0,0,0,0
TraesCS7B02G073900,8.14560841768041,4.9812003243673,77.7129344655481,97.5191241816952
TraesCS7B02G116100,2.23499369195206,1.20634082143887,0.649562202970486,0.519720329252935
TraesCS7B02G201300,0,0,0,0
TraesCS7B02G309300,3.24310876613106,3.5141258174797,7.38211019231643,8.10705989435889
TraesCS7B02G379000,0,0,0,0
