Geneid,ERR392055,ERR392056,ERR392057,ERR392058,ERR392059,ERR392060,ERR392061,ERR392062,ERR392063,ERR392064,ERR392065,ERR392066,ERR392067,ERR392068,ERR392069,ERR392070,ERR392071,ERR392072,ERR392073,ERR392074,ERR392075,ERR392076,ERR392077,ERR392078,ERR392079,ERR392080,ERR392081,ERR392082,ERR392083,ERR392084
TraesCS5D02G482100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6D02G009900,0,0.177213300141042,0.311606117905552,0.263875754177589,0.172120045684804,0.315289690156147,0.124541971703135,0.154484084636042,0.127704948997261,0,0.238170069293445,0.319647183638892,0.518993145398762,0,0.161539673351318,0,0.413150464239998,0.0582007701932215,0.158114415984597,0.31942499532683,0.477951033290473,0.126504595522743,0.212984933996244,0.134735814429366,0.259518726871722,0.216364807952385,0.043259971405529,0.299845322888461,0.0667425167076214,0.165589275217291
TraesCS6D02G044200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G104500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G016700,0,0.299654475171105,0,0.743657037080296,0,0,0,0.52244213348613,0.215939545384408,0,0.201363913032464,0.180166516803952,0,0,0,1.04373134408543,0,0,0,0,0,0.213909837173228,0.900354101035337,0,0,0,0,0,0,0
TraesCS7D02G022700,0,0.119112653880514,0.139629217594821,0.118241468895767,0.138827111133772,0,0,0,0,0.0955773601684346,0,0,0,0,0,0.13829440309132,0,0,0,0,0,0,0.143156302064619,0.22640428817506,0.174433658561636,0.349027344485477,0,0.0895728409009658,0,0.22259929711353
TraesCS7D02G022800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163118167540794,0,0,0,0,0,0.0944053621578804,0,0.060640144239224,0.788085227407054,0.0933745176927417,0,0.0464093843572512
TraesCS7D02G104600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G082900,0,0.92322610620191,0,1.60382892066231,0.807022652957567,0,0,1.2072209575849,0,1.20381173360935,0.310197972602259,1.110174855102,0.270379266336462,0.835787064318242,0.0701309493073078,1.33987656974289,0.40357223548426,0,0.205931716874057,0.208013093842593,0,0,2.56591572558728,1.18450963225152,0,0,0,1.12818387847583,0.347707727179913,0.9489354119165
TraesCS7D02G280200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121260317493752
TraesCS7D02G449600,0,0,0.0687828658102566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705203458446397,0,0,0,0,0,0.0883950854635774,0
TraesCS7D02G449000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCSU02G149300,2.19209103977014,4.27583885724923,3.34155392534614,1.8864735778242,2.76863184597266,1.26789571981596,3.33886026702707,4.14158187015714,2.73892551581591,6.09952383980894,5.10810336649874,3.99908071914412,6.12204905757559,3.01067883033441,4.04202024070324,4.41281286217317,8.3071492916632,6.55330723526068,3.39112627786908,0.856350201146858,5.12537803220895,1.35659059130372,2.56947208833931,4.33457782489003,2.08724035885719,4.6404395278221,2.78342790376771,1.964988247685,2.14716951185886,2.8411534218479
TraesCSU02G213700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
