Geneid,Control_rep1,Control_rep2,Control_rep3,100mM_NaCl_rep1,100mM_NaCl_rep2,100mM_NaCl_rep3,200mM_NaCl_rep1,200mM_NaCl_rep2,200mM_NaCl_rep3,300mM_NaCl_rep1,300mM_NaCl_rep2,300mM_NaCl_rep3
TraesCS2A02G219700,1.13307782822182,0.585010642240825,0.661373242382485,1.1282098313949,1.41907006483005,1.47718063641627,3.67713076545396,4.40384131325027,2.38255268004689,1.60953981214042,1.80523744050296,1.22780989181742
TraesCS2A02G231600,0.0409705552425079,0.177686797854985,0.136964051056064,0.0450886966776497,0.115451203642859,0.0801192681032778,0.720557711681373,1.02177023846427,0.510272299577788,0.0452657126575341,0.425412499906826,0.103590521977539
TraesCS2A02G300300,0,0,0,0,0,0,0,0.194480161675742,0,0,0,0
TraesCS2A02G505300,0,0,0,0,0,0,0,0,0,0,0,0.0565870319384305
TraesCS2A02G516300,4.41345794865993,5.03707836623023,4.45212477606329,5.26609203111009,4.10193337348064,3.86108570147113,4.74914330383488,5.47705932683944,7.8375281619237,5.85137257176955,7.2893731646841,7.40021110412509
TraesCS2A02G575700,0.0843373241517221,0.0457207285191654,0,0.185628923248581,0.158436475947195,0.123693308123896,0.139055450021653,0.430220449395077,0.190979728470002,0.605662502788737,0.437852888378872,0.373169411882964
TraesCS2A02G584400,1.65481997779633,1.53035841534435,1.57283557858447,0.964140165224925,1.09720667393213,0.761424678996075,4.65444635360364,4.19318620814921,5.01476618582118,0.645283554363523,0.505370904919095,0.984487025544316
TraesCS2A02G584600,0,0.131362356733813,0.2025127443539,0.400004335435163,0.796619645124942,0.236926006994042,0.732465610438051,0.89272908920787,0.754480047563534,0,0,0
TraesCS2A02G707500_M,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G007100,3.72736392526586,3.67807118082653,3.82682966494724,18.4821289436725,19.1578210767767,19.2871396986263,33.9278404452222,31.5238018176847,32.1498494154672,13.6499581406496,11.8378753572845,10.6950134862859
TraesCS3A02G019600,1.10313219990453,0.498355940858903,0.870720420411623,4.19846217157478,3.36756729625764,4.13465497955478,4.0418784139627,6.1483282445772,5.51644945685601,0.50782471387671,0.583317347962519,0.522970275795983
TraesCS3A02G196000,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G298500,0.504096968730172,0.364372965136745,0.187243314276949,0.678047460700833,0.736554645225956,0.766716377545838,1.23134148178605,0.507949201147509,0.634174879001682,0.55694408833394,0.323100379678748,0.35404605283641
TraesCS3A02G331900,0.157253342823168,0.0568331792854059,0,2.99969989158362,2.70798766444315,3.28015022084981,10.7168836065155,11.5276048124283,11.0389822238085,34.4582414547846,33.3820956211039,33.7961309138768
TraesCS3A02G335900,0,0,0,0.316974714894443,0.180361105778008,0.140810136663235,0.105532073471611,0.272086039942346,0.217407732670812,0.0530365236424763,0.276913053863052,0.0606870061846223
TraesCS3A02G339800,0,0,0.0674486890660177,0,0,0,0,0,0,0,0,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,0.0703079795987588,0.152460708484559,0.117519345910915,0.193437405679687,0.198121329387124,0.378096307050483,0.618260560453185,0.119551380456503,0.597039877721708,0.621429860193297,0.527246690318981,0.666628777305268
TraesCS4A02G284700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,0.156389466582247,0.16956289322153,0.217836675213215,0.602381152317564,0.257069710042977,0.573421396512694,0.773565246691426,0.177282642505763,0.442674968702397,0.0863922958216625,0.135320828873428,0.197708651727467
TraesCS5A02G015800,0.189297674801291,0.820972463705786,0.316409873417805,0.468730949052401,0.711230924200537,0.601538970781849,1.97672303385563,2.52140067181579,3.2149483248232,0.365999793785016,0.0545985583678502,0.239311437515679
TraesCS5A02G060000,0.0527940751330235,0.0572411705221999,0,0,0,0,0,0,0,0,0,0
TraesCS5A02G220400,0.0782862962106682,0.15278530015687,0.29660478447064,0.67201068999763,0.76475873593247,0.85731198954029,1.22194322925847,1.13593749390109,0.992753044565376,0,0.108383427341247,0.0197940160687335
TraesCS5A02G220500,180.901534183542,155.463108517786,183.864898526772,68.5692617044341,62.6216602792192,64.70014353044,40.9346394927604,47.8484953731284,41.8836323428356,122.21343114138,124.753155990674,122.148546231961
TraesCS5A02G483100,0.21503551655059,0.582872445449009,0.299525428418171,0.946598953641886,1.06041255392728,1.10383618828694,2.36367158711269,2.80328178462237,2.25210890327344,1.00970995741568,1.36448502447373,1.08739758450107
TraesCS6A02G008800,0.94554188563245,0.987219387606208,1.09266876286949,0.423941102809616,0.460522023419848,0.958760574969224,0.500423041728715,0.833671626383349,0.71371852811075,0.619062508344942,0.606043997883137,0.796907086927212
TraesCS6A02G009400,0.0542746469817725,0.0588464579611989,0.241919283292137,0.0597300446762961,0.20392119118222,0.31840757102299,0.238634887909237,0.492204650263232,0.368710678728801,0.119929083719961,0,0
TraesCS6A02G039800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G271500,1.30573112627111,1.05037220066481,1.64275801977801,2.03957918877478,1.66167740409223,1.02959683738104,0.648182105331934,0.190990063318064,0.667663380630523,0.930721125089045,1.16627023647614,1.54421667283528
TraesCS6A02G329600,6.71277200753261,5.49910003706376,4.82059748324774,1.58694530463493,1.63471306487776,1.26408595077078,0.546569089109222,0.958243248716493,0.900794175663782,0.164811266166884,0.114734495880513,0.628617264873843
TraesCS6A02G329700,0,0,0,0,0,0,0.057658750555816,0,0,0,0,0
TraesCS6A02G329800,6.9662225253763,7.26619693146794,8.20484187946063,8.44277735811171,6.50197461123346,5.47493673655987,3.8286378261757,4.74812976657183,4.04354921501594,0.974244055398964,1.78034507771425,0.613127954570297
TraesCS6A02G329900,2.79667318285654,3.03225023170488,3.78009527999743,3.9042207195367,3.94038210179658,3.64599091889705,2.9033211142549,2.93546347318081,2.81466461790155,4.29147645529614,4.63068829368453,5.56525489109966
TraesCS6A02G330000,21.344510920395,18.960956592534,21.6360270405441,12.4401589432051,10.8676535363997,12.8730511196139,10.8904138097729,12.2111033882552,10.7660073333162,7.05261085456263,5.44672453793705,7.22932589406542
