3DAA,7DAA,10DAA,13DAA,15DAA,17DAA,19DAA,21DAA,23DAA,26DAA
TraesCS2A02G707500_M,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G007100,0,0,0,0,0,0,0,0,0.0343625218331564,0
TraesCS3A02G019600,0.124112357553926,0.108260532630143,0,0.0289822489169744,0.115288613423691,0,0,0,0,0
TraesCS3A02G196000,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G298500,1.63737083950655,1.19441710209319,0.976290588498057,1.61428177408076,1.21296412748434,1.58618512971154,1.22281941562158,2.04395616202298,0.707525391056982,0.864409836867523
TraesCS3A02G331900,0,0.0380146680438339,0.214981128633293,0,0.0602454736294734,0.0339697753855221,0.131755829501428,0.262012639238183,0.360520599206335,4.6420624555701
TraesCS3A02G335900,0,0,0,0,0,0,0,0,0,0
TraesCS3A02G339800,0,0,0,0,0,0,0,0,0.0995417968264216,0
TraesCS4A02G041500,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G271100,19.2468943725278,25.0261402919782,24.5813150833505,23.5278309308548,22.7550461983321,19.1151957700472,23.3919011467437,23.7368234755411,22.2579574819147,23.6292623460603
TraesCS4A02G284700,0,0,0,0,0,0,0,0,0,0
TraesCS4A02G415600,1.50904421148277,1.32436236958574,2.20361986014998,2.48629728967672,1.49397934677257,1.97440613046343,1.54986034291081,1.08522504698559,1.29877702031803,0.741832682526515
TraesCS5A02G015800,0.802116994501902,1.04575199728214,1.51288139712879,1.06381623687577,0.980887467127126,1.73678292683924,1.18446498231643,0.787730364810312,0.314684905494126,0.499096173808128
TraesCS5A02G060000,0,0,0,0,0,0,0,0,0,0
TraesCS5A02G220400,0.179762191629323,0.661640746731386,0.410716573317097,0.764350604941203,0.632197209135756,1.05889547562843,0.973115659832481,0.794276248614186,1.37335653875959,0.83458251846736
TraesCS5A02G220500,0.426540066228971,0.540555053696478,0.744338461457999,0.73150100112448,0.970380535240703,1.0676268750374,0.782989338362374,0.902212953242944,1.55558318579404,1.76159804639282
TraesCS5A02G483100,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G008800,0.5808134210942,0.300793443870367,0.471412882005165,0.369940734148647,0.296427029267744,0.546465724750781,0.548327680178964,0.301287875282039,0.296205088667258,0.0998557108006423
TraesCS6A02G009400,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G039800,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G271500,0.132068122596289,0.0983466436000526,0.0594376778270172,0.161035565768636,0.163036680396744,0.0813109101704274,0.0620631313983325,0.103394932915111,0.242365657371895,0.0591419815885611
TraesCS6A02G329600,0,0,0,0,0,0,0,0,0,0
TraesCS6A02G329700,0,0,0,0,0,0.0339940048972093,0,0,0,0
TraesCS6A02G329800,0,0,0,0,0,0,0,0,0,0
